item_id,old_claim_group,old_locations,claim_values,available_evidence,status,plain_action
OLD-001,Five-benchmark CDA headline,"main.tex:113; main.tex:143-160; main.tex:845; appendix_tables.tex:66; APPROVED_RESULTS_SOURCE.tex:53; generate_figures.py:230-252","PACS 89.1; VLCS 79.5; OfficeHome 72.9; TerraIncognita 52.3; DomainNet 47.8; Avg 68.3","Typed manuscript tables and hard-coded plot values; no complete raw five-benchmark runs found",delete,"Remove until rerun under documented protocol"
OLD-002,Literature baseline rows in five-benchmark table,"main.tex:145-153; APPROVED_RESULTS_SOURCE.tex:21-53; appendix_tables.tex","ERM/SWAD/DiWA and other published rows","APPROVED_RESULTS_SOURCE says all values except final row are copied from SWAD table source",literature-only,"Use only with exact citations and literature-only wording"
OLD-003,CDA PACS per-domain row,"appendix_tables.tex:41; APPROVED_RESULTS_SOURCE.tex:121","A 89.4; C 84.2; P 98.1; S 84.6; Avg 89.1","Typed table row; no complete verified match found",delete,"Regenerate from all PACS target domains and matched seeds"
OLD-004,CDA PACS OOD/in-domain generalization row,"main.tex:688-710; APPROVED_RESULTS_SOURCE.tex:60-79","OOD 89.1; in-domain 97.9","Typed table row; no exact raw support for 97.9 found",delete,"Delete until exact OOD and in-domain metrics are regenerated"
OLD-005,PACS env0 local replay summary with historical method labels,"results/summary_detailed.csv","Historical D-COLA-labeled row full 0.87255859375; in 0.8737034777303234; out 0.8679706601466992","Real CSV exists; one PACS test environment; one seed; complete=False",verified,"Use only as pilot sanity check; do not use as a manuscript method name"
OLD-006,Historical PACS art_painting tuning/search,"results/results_ledger.md:134-216; results_ledger.md:379-391; results_ledger.md:1493-1568","Examples include 0.8887 and 0.8843 full accuracy variants","Real ledger entries exist but describe search/tuning, not final matched evaluations",verified,"Use to plan final experiments; do not quote as final headline evidence or introduce old method names"
OLD-007,Version-space-only PACS split coverage,"results/results_ledger.md:1626-1699","Mean full around 0.8843 across four PACS splits for one fixed selector/weigher family","Ledger summary exists; not yet backed by immutable evidence records with raw files and hashes",provisional,"Recover raw artifacts before using"
OLD-008,Exact retained-family CDA underperformance warning,"results/results_ledger.md:44-46","Exact CDA variants underperform plain graph-diffusion family","Real ledger statement exists; negative result",verified,"Keep as internal warning or failure case after raw files are recovered"
OLD-009,Selector bridge diagnostics,"main.tex:351-366; generate_figures.py:171-173","Family size 19.8; mismatch 4.7%; residual 0.21; proxy reduction 0.19","Provisional macros and hard-coded figure labels",delete,"Regenerate from final selector outputs or cut"
OLD-010,Method diagnostics table,"main.tex:563-580","Family size; entropy; proxy reduction; mergeability residual","Provisional macros; no raw diagnostic source found",delete,"Regenerate from final diagnostics JSON"
OLD-011,Post-hoc family comparison diagnostics,"main.tex:662-684","SWAD/DiWA/EoA/CDA diagnostics and averages","Mixed literature averages plus unverified diagnostics",delete,"Rebuild after matched evidence exists"
OLD-012,Component ablation table,"main.tex:747-767; appendix_tables.tex:52-66","Multiple stack averages ending at CDA-BD 68.3","All ablation values are provisional typed values",delete,"Rerun ablations from final method"
OLD-013,Flatness and mechanism summary,"main.tex:522-545; main.tex:774-791; appendix_tables.tex:75-89; generate_figures.py:255-289","CDA-BD source flatness 1.09; mixture flatness 0.44; OOD std 0.33","Provisional table values and hard-coded curves",delete,"Regenerate after accuracy package is fixed"
OLD-014,Loss-surface visualization,"main.tex:529-545; generate_figures.py:292-325","Synthetic surface and hard-coded method points","Generated from formulas and typed coordinates, not real loss grids",delete,"Replace with real loss grid or cut"
OLD-015,Checkpoint-selection fluctuation figure,"main.tex:547-555; generate_figures.py:328-357","Synthetic trajectory and std bars","Hard-coded sinusoidal series plus random noise",delete,"Replace with actual nearby-checkpoint measurements"
OLD-016,Certificate proxy comparison figure,"generate_figures.py:360-377","Hard-coded proxy bars for ERM/SAM/SWA/SWAD/DiWA/EoA/CDA-BD","Hard-coded arrays",delete,"Replace with artifact-derived decomposition"
OLD-017,ImageNet robustness table,"main.tex:793-813","ImageNet top-1; ImageNet-C mCE; ImageNet-R; BGC","Entire table is provisional and outside core DG claim",delete,"Cut unless core DG package is already complete"
OLD-018,Conceptual diagrams,"main.tex:286-288; main.tex:343-345; main.tex:436-438; generate_figures.py","CDA sampling; VSC mechanism; weighting mechanism","Diagrams only; not empirical evidence",provisional,"Can be redrawn as conceptual diagrams with careful captions"
