status,global_index,method,family,scheme,description,parameter_name,parameter_value,variant_index,family_size,selected_steps,mean_full_acc,mean_in_acc,mean_out_acc,support_loss,validation_loss,art_painting_full_acc,mean_full_acc,mean_in_acc,mean_out_acc,test_env0_in_acc,test_env0_out_acc
success,5,dpp_repulsive_subset,dpp_repulsive_subset,dpp_repulsive_subset__feature_gainfloor_loss_0p02,Greedy DPP MAP family with explicit subset repulsion and quality-weighted kernels.,feature_gainfloor,loss_0.02,1,169,"[100, 150, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000, 1050, 1150, 1200, 1250, 1350, 1450, 1550, 1600, 1650, 1700, 1750, 1800, 1850, 1900, 1950, 2000, 2050, 2100, 2150, 2250, 2400, 2650, 2700, 2750, 2800, 2850, 2900, 3000, 3200, 3250, 3300, 3400, 3450, 3550, 3600, 3800, 4000, 4050, 4100, 4150, 4200, 4400, 4450, 4600, 4650, 4800, 4850, 4900, 5050, 5100, 5150, 5250, 5300, 5400, 5450, 5500, 5550, 5600, 5850, 5950, 6000, 6300, 6350, 6550, 6600, 6800, 6850, 6900, 6950, 7050, 7100, 7150, 7200, 7250, 7350, 7450, 7500, 7550, 7600, 7650, 7700, 7750, 7800, 7850, 7950, 8000, 8050, 8150, 8250, 8300, 8350, 8400, 8450, 8500, 8550, 8600, 8650, 8700, 8750, 8800, 8900, 9150, 9200, 9300, 9450, 9550, 9600, 9650, 9700, 9850, 9900, 10200, 10250, 10550, 11150, 11200, 11300, 11350, 11400, 11450, 11650, 11750, 11850, 11900, 12000, 12350, 12450, 12750, 12800, 13050, 13150, 13250, 13300, 13350, 13400, 13500, 13700, 13900, 13950, 14000, 14050, 14100, 14150, 14300, 14350, 14400, 14450, 14500, 14600, 14800]",0.87646484375,0.8737034777303234,0.8875305623471883,0.1287095872375152,0.0610415146631353,0.87646484375,0.87646484375,0.8737034777303234,0.8875305623471883,0.8737034777303234,0.8875305623471883
success,41,stochastic_dominance_selector,stochastic_dominance_selector,stochastic_dominance_selector__order_slack_first_0p01,Distributional frontier selector based on empirical stochastic dominance instead of mean-loss ranking.,order_slack,first_0.01,4,71,"[100, 150, 200, 250, 300, 350, 450, 500, 550, 600, 650, 700, 750, 1000, 1150, 1250, 1550, 2100, 2400, 2700, 3200, 3400, 4100, 4150, 4800, 5250, 5400, 5500, 5600, 6550, 7350, 7500, 7550, 7600, 7650, 7800, 7950, 8150, 8450, 8500, 8550, 8600, 8650, 8750, 9200, 9450, 9550, 9700, 9750, 9900, 9950, 10250, 11150, 11300, 11900, 13050, 13150, 13250, 13700, 13900, 13950, 14000, 14050, 14100, 14150, 14300, 14350, 14400, 14500, 14600, 14650]",0.8759765625,0.8737034777303234,0.8850855745721271,0.13364432040270013,0.07639350336702432,0.8759765625,0.8759765625,0.8737034777303234,0.8850855745721271,0.8737034777303234,0.8850855745721271
success,9,dpp_repulsive_subset,dpp_repulsive_subset,dpp_repulsive_subset__feature_gainfloor_loss_0p1,Greedy DPP MAP family with explicit subset repulsion and quality-weighted kernels.,feature_gainfloor,loss_0.1,3,77,"[150, 200, 250, 300, 350, 450, 500, 600, 650, 700, 750, 950, 1000, 1150, 1250, 1550, 1700, 1850, 2100, 2400, 2700, 2800, 3200, 3250, 3800, 4050, 4100, 4150, 4200, 4600, 4650, 4800, 4850, 5150, 5250, 5400, 5450, 5500, 5550, 5600, 6550, 6850, 7350, 7450, 7500, 7550, 7600, 7650, 7950, 8150, 8350, 8450, 8500, 8550, 8600, 8800, 9150, 9200, 9450, 9650, 9700, 9900, 10250, 11150, 11300, 11350, 11400, 11850, 13050, 13150, 13250, 13700, 13900, 14100, 14300, 14400, 14800]",0.87451171875,0.8718730933496034,0.8850855745721271,0.11537152749983365,0.09553956847731807,0.87451171875,0.87451171875,0.8718730933496034,0.8850855745721271,0.8718730933496034,0.8850855745721271
success,37,stochastic_dominance_selector,stochastic_dominance_selector,stochastic_dominance_selector__order_slack_first_0p0025,Distributional frontier selector based on empirical stochastic dominance instead of mean-loss ranking.,order_slack,first_0.0025,2,85,"[100, 150, 200, 250, 300, 350, 450, 500, 550, 600, 650, 700, 750, 1000, 1150, 1250, 1550, 1650, 2100, 2400, 2700, 3200, 3400, 4100, 4150, 4800, 5150, 5250, 5400, 5500, 5600, 6550, 6650, 7350, 7450, 7500, 7550, 7600, 7650, 7800, 7950, 8000, 8150, 8200, 8350, 8450, 8500, 8550, 8600, 8650, 8700, 8750, 9200, 9450, 9550, 9600, 9700, 9750, 9850, 9900, 9950, 10250, 11150, 11300, 11900, 12250, 12550, 13050, 13150, 13250, 13700, 13900, 13950, 14000, 14050, 14100, 14150, 14200, 14300, 14350, 14400, 14450, 14500, 14600, 14650]",0.87353515625,0.87248322147651,0.8777506112469438,0.152867540754009,0.07265846532996462,0.87353515625,0.87353515625,0.87248322147651,0.8777506112469438,0.87248322147651,0.8777506112469438
success,33,stochastic_dominance_selector,stochastic_dominance_selector,stochastic_dominance_selector__order_slack_first_0p0,Distributional frontier selector based on empirical stochastic dominance instead of mean-loss ranking.,order_slack,first_0.0,0,128,"[50, 100, 150, 200, 250, 300, 350, 450, 500, 550, 600, 650, 700, 750, 800, 850, 950, 1000, 1150, 1250, 1550, 1650, 2100, 2400, 2700, 3200, 3400, 4100, 4150, 4650, 4800, 4950, 5150, 5250, 5400, 5450, 5500, 5550, 5600, 5950, 6350, 6550, 6600, 6650, 7100, 7200, 7350, 7450, 7500, 7550, 7600, 7650, 7700, 7800, 7850, 7950, 8000, 8050, 8150, 8200, 8250, 8350, 8400, 8450, 8500, 8550, 8600, 8650, 8700, 8750, 8800, 8900, 9150, 9200, 9250, 9450, 9550, 9600, 9650, 9700, 9750, 9800, 9850, 9900, 9950, 10200, 10250, 10300, 10950, 11150, 11300, 11400, 11450, 11850, 11900, 12000, 12250, 12300, 12450, 12550, 12800, 12950, 13050, 13150, 13250, 13300, 13350, 13500, 13600, 13700, 13900, 13950, 14000, 14050, 14100, 14150, 14200, 14250, 14300, 14350, 14400, 14450, 14500, 14550, 14600, 14650, 14800, 14950]",0.87109375,0.8700427089688835,0.8753056234718827,0.14049538905446482,0.05279866830023209,0.87109375,0.87109375,0.8700427089688835,0.8753056234718827,0.8700427089688835,0.8753056234718827
success,45,topological_persistence_selector,topological_persistence_selector,topological_persistence_selector__feature_persistence_loss_0p6,"Persistent-component selector over checkpoint geometry, using long-lived branches as family representatives.",feature_persistence,loss_0.6,1,120,"[1200, 1300, 1400, 1900, 2350, 2500, 2550, 2650, 2850, 3100, 3150, 3200, 3500, 3550, 3600, 3700, 3750, 3900, 3950, 4000, 4300, 4350, 4450, 4500, 4550, 4600, 4650, 4850, 5000, 5350, 5450, 5550, 5700, 5750, 5800, 5850, 6050, 6100, 6150, 6200, 6300, 6350, 6400, 6450, 6500, 6550, 6600, 6700, 6750, 6800, 6850, 6900, 6950, 7000, 7300, 7400, 7600, 7700, 7850, 7900, 8050, 8100, 8200, 8650, 8700, 8800, 8950, 9000, 9050, 9100, 9200, 9400, 9850, 9950, 10000, 10050, 10150, 10350, 10400, 10700, 10800, 10850, 10900, 11000, 11100, 11150, 11200, 11300, 11500, 11550, 11700, 11750, 12100, 12150, 12200, 12350, 12500, 12550, 12600, 12650, 12700, 12850, 13050, 13100, 13150, 13200, 13350, 13450, 13500, 13800, 13850, 13900, 14450, 14550, 14650, 14700, 14750, 14800, 14850, 14999]",0.8701171875,0.8651616839536302,0.8899755501222494,0.13328401637569567,0.08302741328708264,0.8701171875,0.8701171875,0.8651616839536302,0.8899755501222494,0.8651616839536302,0.8899755501222494
success,49,topological_persistence_selector,topological_persistence_selector,topological_persistence_selector__feature_persistence_loss_0p8,"Persistent-component selector over checkpoint geometry, using long-lived branches as family representatives.",feature_persistence,loss_0.8,3,60,"[2850, 3150, 3500, 3750, 3900, 3950, 4300, 4450, 4500, 4600, 4850, 5000, 5350, 5700, 5750, 6050, 6100, 6150, 6300, 6400, 6500, 6700, 6750, 7600, 8100, 8200, 8650, 8700, 8950, 9000, 9100, 9200, 9950, 10000, 10050, 10350, 10400, 10900, 11000, 11550, 11700, 11750, 12100, 12150, 12200, 12500, 12550, 12600, 12650, 12700, 12850, 13150, 13450, 13800, 13850, 13900, 14650, 14700, 14850, 14999]",0.865234375,0.8596705308114704,0.8875305623471883,0.14265459556160637,0.06382551939547562,0.865234375,0.865234375,0.8596705308114704,0.8875305623471883,0.8596705308114704,0.8875305623471883
success,25,prequential_regret_selector,prequential_regret_selector,prequential_regret_selector__blocks_penalty_16_0p001,Dynamic-programming selector that keeps the checkpoint specialists actually used by the minimum-regret switching path.,blocks_penalty,16_0.001,1,16,"[2700, 3950, 4650, 4850, 5400, 6450, 7550, 9600, 10650, 12850, 12900, 12950, 13050, 13550, 13850, 14850]",0.85400390625,0.8474679682733374,0.8801955990220048,0.11109808463754986,0.08692109910379939,0.85400390625,0.85400390625,0.8474679682733374,0.8801955990220048,0.8474679682733374,0.8801955990220048
success,29,prequential_regret_selector,prequential_regret_selector,prequential_regret_selector__blocks_penalty_16_0p005,Dynamic-programming selector that keeps the checkpoint specialists actually used by the minimum-regret switching path.,blocks_penalty,16_0.005,3,15,"[3950, 4650, 4850, 5400, 6450, 7600, 9600, 10650, 12850, 12900, 12950, 13050, 13550, 13850, 14850]",0.8515625,0.8444173276388042,0.8801955990220048,0.1551394384632241,0.06417456543182626,0.8515625,0.8515625,0.8444173276388042,0.8801955990220048,0.8444173276388042,0.8801955990220048
success,13,minimum_description_length,minimum_description_length,minimum_description_length__feature_beta_loss_0p02,Greedy MDL family that adds checkpoints only when fit-plus-code-length improves.,feature_beta,loss_0.02,0,1,[7600],0.826171875,0.8212324588163514,0.8459657701711492,0.18414595005254183,0.1335712706341463,0.826171875,0.826171875,0.8212324588163514,0.8459657701711492,0.8212324588163514,0.8459657701711492
