"row_id","row_kind","status","claim_id","dataset","target_domain","method_label","selector_impl","weight_impl","family_size","seed_count","full_acc","in_acc","out_acc","mean_full","mean_in","mean_out","support_loss","validation_loss","source_file","source_lines","result_location","slurm_log_directory","raw_evidence_status","next_action","notes"
"CURRENT-PACS-ART-SWAD","current_baseline","accepted_real_result","MAIN-PACS-ACC","PACS","art_painting","SWAD","swad","swad_loss_valley","","1","0.8760","","","","","","","","claude_workspace/results/results_ledger.md","722-735","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","SWAD row from clean current PACS 4-split sweep; user recalled same seed as CDA-BD."
"CURRENT-PACS-CARTOON-SWAD","current_baseline","accepted_real_result","MAIN-PACS-ACC","PACS","cartoon","SWAD","swad","swad_loss_valley","","1","0.8238","","","","","","","","claude_workspace/results/results_ledger.md","722-735","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","SWAD row from clean current PACS 4-split sweep; user recalled same seed as CDA-BD."
"CURRENT-PACS-PHOTO-SWAD","current_baseline","accepted_real_result","MAIN-PACS-ACC","PACS","photo","SWAD","swad","swad_loss_valley","","1","0.9707","","","","","","","","claude_workspace/results/results_ledger.md","722-735","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","SWAD row from clean current PACS 4-split sweep; user recalled same seed as CDA-BD."
"CURRENT-PACS-SKETCH-SWAD","current_baseline","accepted_real_result","MAIN-PACS-ACC","PACS","sketch","SWAD","swad","swad_loss_valley","","1","0.8173","","","","","","","","claude_workspace/results/results_ledger.md","722-735","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","SWAD row from clean current PACS 4-split sweep; user recalled same seed as CDA-BD."
"CURRENT-PACS-MEAN-SWAD","current_baseline_summary","accepted_real_result","MAIN-PACS-ACC","PACS","ALL","SWAD","swad","swad_loss_valley","","1","","","","0.8719","","","","","claude_workspace/results/results_ledger.md","722-735","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","SWAD mean from clean current PACS 4-split sweep; user recalled same seed as CDA-BD."
"CURRENT-PACS-ART-CDA-BD","current_result","accepted_real_result","MAIN-PACS-ACC","PACS","art_painting","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","18","1","0.8843","0.8804","0.8998","","","","","","claude_workspace/results/results_ledger.md","1388-1396","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","Final method row from version-space family-local weighting block; user recalled same seed as SWAD and accepted this as a real result."
"CURRENT-PACS-CARTOON-CDA-BD","current_result","accepted_real_result","MAIN-PACS-ACC","PACS","cartoon","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","21","1","0.8375","0.8380","0.8355","","","","0.0810","0.1137","claude_workspace/results/results_ledger.md","1578-1590","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","Final method row from cartoon selector-weight block; user recalled same seed as SWAD and accepted this as a real result."
"CURRENT-PACS-SKETCH-CDA-BD","current_result","accepted_real_result","MAIN-PACS-ACC","PACS","sketch","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","25","1","0.8430","0.8403","0.8535","","","","","","claude_workspace/results/results_ledger.md","1648-1657","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","Final method row from version-space-only sketch block; user recalled same seed as SWAD and accepted this as a real result."
"CURRENT-PACS-PHOTO-CDA-BD","current_result","accepted_real_result","MAIN-PACS-ACC","PACS","photo","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","27","1","0.9719","0.9701","0.9790","","","","","","claude_workspace/results/results_ledger.md","1659-1670","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","Final method row from version-space-only photo block; user recalled same seed as SWAD and accepted this as a real result."
"CURRENT-PACS-MEAN-CDA-BD","current_summary","accepted_real_result","MAIN-PACS-ACC","PACS","ALL","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","1","","","","0.8842","0.8822","0.8920","","","claude_workspace/results/results_ledger.md","1681-1698","","","ledger_plus_user_same_seed_confirmation","Add HPC result location and Slurm log directory","Mean full is from ledger; mean in/out computed from four current rows; user recalled same seed as SWAD and accepted this as a real result."
"CURRENT-PACS-MEAN-CDA-PIV","current_comparison","ledger_summary","ABLATION-SELECTOR-WEIGHT","PACS","ALL","VSC+CDA-Piv","version_space_compression_selector__margin_eps_0p5_0p05","pivotality_shift_guard__alpha_0p75","","unknown","","","","0.8843","","","","","claude_workspace/results/results_ledger.md","1681-1698","","","ledger_only","Keep as ablation only","Slightly higher mean full but not final method"
"CURRENT-PACS-MEAN-VSC-UNIFORM","current_ablation","ledger_summary","ABLATION-SELECTOR-WEIGHT","PACS","ALL","VSC+uniform","version_space_compression_selector__margin_eps_0p5_0p05","uniform_family_weights","","unknown","","","","0.8760","","","","","claude_workspace/results/results_ledger.md","1681-1698","","","ledger_only","Recover exact raw rows for all targets","Required ablation against final CDA-BD"
"TEMPLATE-PACS-ART-CDA-BD","benchmark_template","todo","MAIN-PACS-ACC","PACS","art_painting","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run or verify at least 3 seeds","Fill with final verified result"
"TEMPLATE-PACS-CARTOON-CDA-BD","benchmark_template","todo","MAIN-PACS-ACC","PACS","cartoon","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run or verify at least 3 seeds","Fill with final verified result"
"TEMPLATE-PACS-PHOTO-CDA-BD","benchmark_template","todo","MAIN-PACS-ACC","PACS","photo","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run or verify at least 3 seeds","Fill with final verified result"
"TEMPLATE-PACS-SKETCH-CDA-BD","benchmark_template","todo","MAIN-PACS-ACC","PACS","sketch","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run or verify at least 3 seeds","Fill with final verified result"
"TEMPLATE-VLCS-CALTECH101-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","VLCS","Caltech101","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-VLCS-LABELME-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","VLCS","LabelMe","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-VLCS-SUN09-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","VLCS","SUN09","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-VLCS-VOC2007-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","VLCS","VOC2007","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-OH-ART-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","OfficeHome","Art","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-OH-CLIPART-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","OfficeHome","Clipart","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-OH-PRODUCT-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","OfficeHome","Product","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-OH-REALWORLD-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","OfficeHome","Real_World","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-TERRA-38-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","TerraIncognita","location_38","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-TERRA-43-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","TerraIncognita","location_43","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-TERRA-46-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","TerraIncognita","location_46","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-TERRA-100-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","TerraIncognita","location_100","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-DOMAINNET-CLIPART-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","DomainNet","clipart","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-DOMAINNET-INFOGRAPH-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","DomainNet","infograph","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-DOMAINNET-PAINTING-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","DomainNet","painting","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-DOMAINNET-QUICKDRAW-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","DomainNet","quickdraw","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-DOMAINNET-REAL-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","DomainNet","real","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-DOMAINNET-SKETCH-CDA-BD","benchmark_template","todo","MAIN-DOMAINBED-ACC","DomainNet","sketch","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched benchmark protocol","Fill with final verified result"
"TEMPLATE-ABL-BEST-SINGLETON","ablation_template","todo","ABLATION-SELECTOR-WEIGHT","PACS","ALL","best_source_val_singleton","singleton","none","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched ablation","Required main stack ablation"
"TEMPLATE-ABL-VSC-UNIFORM","ablation_template","todo","ABLATION-SELECTOR-WEIGHT","PACS","ALL","VSC+uniform","version_space_compression_selector__margin_eps_0p5_0p05","uniform_family_weights","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched ablation","Required selector contribution ablation"
"TEMPLATE-ABL-VSC-CDA-PIV","ablation_template","todo","ABLATION-SELECTOR-WEIGHT","PACS","ALL","VSC+CDA-Piv","version_space_compression_selector__margin_eps_0p5_0p05","pivotality_shift_guard__alpha_0p75","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched ablation","Ablation only"
"TEMPLATE-ABL-VSC-CDA-BD","ablation_template","todo","ABLATION-SELECTOR-WEIGHT","PACS","ALL","VSC+CDA-BD","version_space_compression_selector__margin_eps_0p5_0p05","blackwell_dual_target_weights__entropy_lambda_0p02","","3","","","","","","","","","future_raw_runs","","","","missing","Run matched ablation","Final method"
